timestamp,date,time,open,high,low,close,volume
2022-08-05 00:00:00,2022-08-05,00:00,38815,39145,38665,38685,138741000
2022-08-05 01:00:00,2022-08-05,01:00,38685,39475,38675,39415,169065100
2022-08-05 02:00:00,2022-08-05,02:00,39415,39740,39395,39610,151307000
2022-08-05 03:00:00,2022-08-05,03:00,39610,40150,39560,40090,181761100
2022-08-05 04:00:00,2022-08-05,04:00,40090,40140,39900,39975,77959200
2022-08-05 05:00:00,2022-08-05,05:00,39975,40170,39655,40105,186109900
2022-08-05 06:00:00,2022-08-05,06:00,40105,40590,40050,40145,273662700
2022-08-05 07:00:00,2022-08-05,07:00,40145,40245,39965,40040,107208600
2022-08-05 08:00:00,2022-08-05,08:00,40040,40325,39825,40075,151291300
2022-08-05 09:00:00,2022-08-05,09:00,40075,40470,39985,40265,121067000
2022-08-05 10:00:00,2022-08-05,10:00,40265,40665,40155,40490,117431500
2022-08-05 11:00:00,2022-08-05,11:00,40490,41065,40370,40975,225544200
2022-08-05 12:00:00,2022-08-05,12:00,40975,41325,39745,40145,567631900
2022-08-05 13:00:00,2022-08-05,13:00,40145,40335,39575,39980,217040800
2022-08-05 14:00:00,2022-08-05,14:00,39980,40995,39925,40390,331889000
2022-08-05 15:00:00,2022-08-05,15:00,40390,40415,39970,39975,187002700
2022-08-05 16:00:00,2022-08-05,16:00,39975,40140,39410,39850,276039300
2022-08-05 17:00:00,2022-08-05,17:00,39850,40025,39585,39715,128188100
2022-08-05 18:00:00,2022-08-05,18:00,39715,39865,39460,39570,113361300
2022-08-05 19:00:00,2022-08-05,19:00,39570,39960,39520,39920,83770700
2022-08-05 20:00:00,2022-08-05,20:00,39920,40280,39720,40275,106100000
2022-08-05 21:00:00,2022-08-05,21:00,40275,40755,40210,40230,154460800
2022-08-05 22:00:00,2022-08-05,22:00,40230,40560,40020,40400,149080100
2022-08-05 23:00:00,2022-08-05,23:00,40400,40675,40220,40590,93751000
2022-08-06 00:00:00,2022-08-06,00:00,40590,40725,40335,40385,102926300
2022-08-06 01:00:00,2022-08-06,01:00,40385,40635,40145,40230,93883100
2022-08-06 02:00:00,2022-08-06,02:00,40230,40510,40190,40465,60871200
2022-08-06 03:00:00,2022-08-06,03:00,40465,40570,40265,40510,49040600
2022-08-06 04:00:00,2022-08-06,04:00,40510,40665,40420,40460,78440500
2022-08-06 05:00:00,2022-08-06,05:00,40460,40595,40220,40375,94543400
2022-08-06 06:00:00,2022-08-06,06:00,40375,40475,40275,40410,31461300
2022-08-06 07:00:00,2022-08-06,07:00,40410,40455,40305,40390,36864100
2022-08-06 08:00:00,2022-08-06,08:00,40390,40870,40365,40475,164454900
2022-08-06 09:00:00,2022-08-06,09:00,40475,40525,40315,40420,44480500
2022-08-06 10:00:00,2022-08-06,10:00,40420,40620,40415,40495,59903900
2022-08-06 11:00:00,2022-08-06,11:00,40495,40555,40270,40295,61586200
2022-08-06 12:00:00,2022-08-06,12:00,40295,40415,40150,40245,81051900
2022-08-06 13:00:00,2022-08-06,13:00,40245,40475,40220,40330,59331000
2022-08-06 14:00:00,2022-08-06,14:00,40330,40525,40320,40470,39956700
2022-08-06 15:00:00,2022-08-06,15:00,40470,40540,40315,40430,34037700
2022-08-06 16:00:00,2022-08-06,16:00,40430,40590,40310,40340,37701900
2022-08-06 17:00:00,2022-08-06,17:00,40340,40580,39800,40355,231900700
2022-08-06 18:00:00,2022-08-06,18:00,40355,40720,40260,40660,85794500
2022-08-06 19:00:00,2022-08-06,19:00,40660,40890,40545,40775,134284400
2022-08-06 20:00:00,2022-08-06,20:00,40775,40865,40460,40660,80898400
2022-08-06 21:00:00,2022-08-06,21:00,40660,40825,40640,40725,51006900
2022-08-06 22:00:00,2022-08-06,22:00,40725,40780,40400,40450,70274200
2022-08-06 23:00:00,2022-08-06,23:00,40450,40550,39915,40055,145442400
2022-08-07 00:00:00,2022-08-07,00:00,40055,40250,39190,39355,273412400
2022-08-07 01:00:00,2022-08-07,01:00,39355,39665,39160,39580,135392900
2022-08-07 02:00:00,2022-08-07,02:00,39580,39780,39460,39770,56364200
2022-08-07 03:00:00,2022-08-07,03:00,39770,39840,39650,39755,47719700
2022-08-07 04:00:00,2022-08-07,04:00,39755,39950,39690,39705,71577400
2022-08-07 05:00:00,2022-08-07,05:00,39705,39950,39690,39875,35623900
2022-08-07 06:00:00,2022-08-07,06:00,39875,40010,39835,39945,33218500
2022-08-07 07:00:00,2022-08-07,07:00,39945,40195,39880,39970,51262500
2022-08-07 08:00:00,2022-08-07,08:00,39970,39995,39680,39760,89704600
2022-08-07 09:00:00,2022-08-07,09:00,39760,39930,39680,39905,52629900
2022-08-07 10:00:00,2022-08-07,10:00,39905,40000,39815,39990,38899000
2022-08-07 11:00:00,2022-08-07,11:00,39990,40180,39840,40125,73008700
2022-08-07 12:00:00,2022-08-07,12:00,40125,40530,40070,40485,177892200
2022-08-07 13:00:00,2022-08-07,13:00,40485,40605,40340,40380,90996600
2022-08-07 14:00:00,2022-08-07,14:00,40380,40465,40210,40445,57690500
2022-08-07 15:00:00,2022-08-07,15:00,40445,40495,40275,40320,71272600
2022-08-07 16:00:00,2022-08-07,16:00,40320,40685,40215,40460,87212000
2022-08-07 17:00:00,2022-08-07,17:00,40460,40770,40460,40635,77436100
2022-08-07 18:00:00,2022-08-07,18:00,40635,40755,40605,40660,55253800
2022-08-07 19:00:00,2022-08-07,19:00,40660,40765,40460,40535,50921400
2022-08-07 20:00:00,2022-08-07,20:00,40535,41310,40535,41260,207777000
2022-08-07 21:00:00,2022-08-07,21:00,41260,41580,41080,41210,148143200
2022-08-07 22:00:00,2022-08-07,22:00,41210,41245,40660,40730,171567600
2022-08-07 23:00:00,2022-08-07,23:00,40730,40760,40445,40590,127171100
2022-08-08 00:00:00,2022-08-08,00:00,40590,41270,40530,40795,210795100
2022-08-08 01:00:00,2022-08-08,01:00,40795,40910,40595,40820,80220000
2022-08-08 02:00:00,2022-08-08,02:00,40820,41475,40775,41450,161974300
