
2022-05-09  23.27.34    BenchmarkSAR    bin = 15    fee = 0.0015 - 0.003    2022-03-16 ~  (54) days

9654 loaded. (54 days)
0.001000 / 0.001000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 41 / 8 / 33 / 0.2424 	 h = -0.0101 / 0.1325 	 p = 0.07 	 avg = 0.00 	 % = 1.1117 / +11.1686
0.004500 / 0.004500 / 0.045000 	 t = 0.0000 / 0.0400 	 c = 134 / 56 / 78 / 0.7179 	 h = -0.0400 / 0.1661 	 p = 0.05 	 avg = 0.00 	 % = 1.1362 / +3.4060
0.004500 / 0.004500 / 0.050000 	 t = 0.0000 / 0.0400 	 c = 134 / 54 / 80 / 0.6750 	 h = -0.0399 / 0.1743 	 p = 0.10 	 avg = 0.00 	 % = 1.2173 / +5.4320
0.004500 / 0.004500 / 0.055000 	 t = 0.0000 / 0.0400 	 c = 136 / 55 / 81 / 0.6790 	 h = -0.0400 / 0.1767 	 p = 0.16 	 avg = 0.00 	 % = 1.2844 / +7.1087
0.004500 / 0.004500 / 0.060000 	 t = 0.0000 / 0.0400 	 c = 136 / 56 / 80 / 0.7000 	 h = -0.0400 / 0.1822 	 p = 0.20 	 avg = 0.00 	 % = 1.3526 / +8.8162
0.004500 / 0.004500 / 0.065000 	 t = 0.0000 / 0.0400 	 c = 138 / 57 / 81 / 0.7037 	 h = -0.0400 / 0.1830 	 p = 0.19 	 avg = 0.00 	 % = 1.3382 / +8.4544
0.004500 / 0.004500 / 0.070000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.21 	 avg = 0.00 	 % = 1.3640 / +9.1002
0.004500 / 0.004500 / 0.075000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.22 	 avg = 0.00 	 % = 1.3786 / +9.4651
0.004500 / 0.004500 / 0.080000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.22 	 avg = 0.00 	 % = 1.3878 / +9.6961
0.004500 / 0.004500 / 0.085000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.22 	 avg = 0.00 	 % = 1.3910 / +9.7739
0.004500 / 0.004500 / 0.090000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.3977 / +9.9412
0.004500 / 0.004500 / 0.095000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4015 / +10.0380
0.004500 / 0.004500 / 0.100000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4050 / +10.1261
0.004500 / 0.004500 / 0.105000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4075 / +10.1878
0.004500 / 0.004500 / 0.110000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4082 / +10.2055
0.004500 / 0.004500 / 0.115000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4082 / +10.2055
0.004500 / 0.004500 / 0.120000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4082 / +10.2055
0.004500 / 0.004500 / 0.125000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4082 / +10.2055
0.004500 / 0.004500 / 0.130000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4082 / +10.2055
0.004500 / 0.004500 / 0.135000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4082 / +10.2055
0.004500 / 0.004500 / 0.140000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4082 / +10.2055
0.004500 / 0.004500 / 0.145000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4082 / +10.2055
0.004500 / 0.004500 / 0.150000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4082 / +10.2055
0.004500 / 0.004500 / 0.155000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4082 / +10.2055
0.004500 / 0.004500 / 0.160000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4082 / +10.2055
0.004500 / 0.004500 / 0.165000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4082 / +10.2055
0.004500 / 0.004500 / 0.170000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4082 / +10.2055
0.004500 / 0.004500 / 0.175000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4082 / +10.2055
0.004500 / 0.004500 / 0.180000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4082 / +10.2055
0.004500 / 0.004500 / 0.185000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4082 / +10.2055
0.004500 / 0.004500 / 0.190000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4082 / +10.2055
0.004500 / 0.004500 / 0.195000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4082 / +10.2055
0.004500 / 0.004500 / 0.200000 	 t = 0.0000 / 0.0400 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0400 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4082 / +10.2055
0.005000 / 0.005000 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 145 / 60 / 85 / 0.7059 	 h = -0.0416 / 0.1690 	 p = 0.01 	 avg = 0.00 	 % = 1.0524 / +1.3093
0.005500 / 0.005500 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 151 / 71 / 80 / 0.8875 	 h = -0.0416 / 0.1692 	 p = 0.06 	 avg = 0.00 	 % = 1.1171 / +2.9268
0.006000 / 0.006000 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 157 / 69 / 88 / 0.7841 	 h = -0.0416 / 0.1694 	 p = 0.02 	 avg = 0.00 	 % = 1.0905 / +2.2618
0.006000 / 0.006000 / 0.070000 	 t = 0.0000 / 0.0400 	 c = 180 / 74 / 106 / 0.6981 	 h = -0.0416 / 0.1967 	 p = 0.00 	 avg = 0.00 	 % = 1.0230 / +0.5749
0.006500 / 0.006500 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 166 / 74 / 92 / 0.8043 	 h = -0.0415 / 0.1626 	 p = 0.03 	 avg = 0.00 	 % = 1.0905 / +2.2622
0.007000 / 0.007000 / 0.035000 	 t = 0.0000 / 0.0400 	 c = 160 / 72 / 88 / 0.8182 	 h = -0.0400 / 0.1680 	 p = 0.01 	 avg = 0.00 	 % = 1.0809 / +2.0235
0.007000 / 0.007000 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 170 / 75 / 95 / 0.7895 	 h = -0.0400 / 0.1638 	 p = 0.03 	 avg = 0.00 	 % = 1.1078 / +2.6958
0.007500 / 0.007500 / 0.035000 	 t = 0.0000 / 0.0400 	 c = 164 / 74 / 90 / 0.8222 	 h = -0.0400 / 0.1700 	 p = 0.03 	 avg = 0.00 	 % = 1.0996 / +2.4907
0.009000 / 0.009000 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 186 / 80 / 106 / 0.7547 	 h = -0.0399 / 0.1687 	 p = 0.01 	 avg = 0.00 	 % = 1.0947 / +2.3683
0.010000 / 0.010000 / 0.030000 	 t = 0.0000 / 0.0400 	 c = 162 / 65 / 97 / 0.6701 	 h = -0.0411 / 0.1726 	 p = 0.01 	 avg = 0.00 	 % = 1.0526 / +1.3161
0.011000 / 0.011000 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 202 / 83 / 119 / 0.6975 	 h = -0.0399 / 0.1698 	 p = 0.01 	 avg = 0.00 	 % = 1.0934 / +2.3361
0.011500 / 0.011500 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 204 / 87 / 117 / 0.7436 	 h = -0.0399 / 0.1700 	 p = 0.04 	 avg = 0.00 	 % = 1.1260 / +3.1501
0.012000 / 0.012000 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 204 / 87 / 117 / 0.7436 	 h = -0.0400 / 0.1704 	 p = 0.10 	 avg = 0.00 	 % = 1.2210 / +5.5237
0.012500 / 0.012500 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 206 / 87 / 119 / 0.7311 	 h = -0.0400 / 0.1706 	 p = 0.11 	 avg = 0.00 	 % = 1.2362 / +5.9053
0.013000 / 0.013000 / 0.035000 	 t = 0.0000 / 0.0400 	 c = 188 / 83 / 105 / 0.7905 	 h = -0.0400 / 0.1729 	 p = 0.02 	 avg = 0.00 	 % = 1.1190 / +2.9748
0.013000 / 0.013000 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 206 / 89 / 117 / 0.7607 	 h = -0.0400 / 0.1710 	 p = 0.14 	 avg = 0.00 	 % = 1.2876 / +7.1900
0.013500 / 0.013500 / 0.035000 	 t = 0.0000 / 0.0400 	 c = 188 / 84 / 104 / 0.8077 	 h = -0.0400 / 0.1731 	 p = 0.05 	 avg = 0.00 	 % = 1.1641 / +4.1031
0.013500 / 0.013500 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 206 / 91 / 115 / 0.7913 	 h = -0.0400 / 0.1712 	 p = 0.18 	 avg = 0.00 	 % = 1.3510 / +8.7757
0.014000 / 0.014000 / 0.035000 	 t = 0.0000 / 0.0400 	 c = 188 / 84 / 104 / 0.8077 	 h = -0.0400 / 0.1731 	 p = 0.07 	 avg = 0.00 	 % = 1.1952 / +4.8799
0.014000 / 0.014000 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 210 / 89 / 121 / 0.7355 	 h = -0.0400 / 0.1712 	 p = 0.10 	 avg = 0.00 	 % = 1.2248 / +5.6195
0.014500 / 0.014500 / 0.035000 	 t = 0.0000 / 0.0400 	 c = 190 / 84 / 106 / 0.7925 	 h = -0.0399 / 0.1731 	 p = 0.05 	 avg = 0.00 	 % = 1.1770 / +4.4261
0.014500 / 0.014500 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 212 / 91 / 121 / 0.7521 	 h = -0.0399 / 0.1712 	 p = 0.09 	 avg = 0.00 	 % = 1.2165 / +5.4132
0.015000 / 0.015000 / 0.035000 	 t = 0.0000 / 0.0400 	 c = 190 / 84 / 106 / 0.7925 	 h = -0.0399 / 0.1731 	 p = 0.08 	 avg = 0.00 	 % = 1.2148 / +5.3689
0.015000 / 0.015000 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 212 / 92 / 120 / 0.7667 	 h = -0.0399 / 0.1712 	 p = 0.12 	 avg = 0.00 	 % = 1.2616 / +6.5395
0.015500 / 0.015500 / 0.035000 	 t = 0.0000 / 0.0400 	 c = 192 / 85 / 107 / 0.7944 	 h = -0.0398 / 0.1731 	 p = 0.08 	 avg = 0.00 	 % = 1.2054 / +5.1351
0.015500 / 0.015500 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 212 / 93 / 119 / 0.7815 	 h = -0.0398 / 0.1714 	 p = 0.14 	 avg = 0.00 	 % = 1.2909 / +7.2714
0.016000 / 0.016000 / 0.035000 	 t = 0.0000 / 0.0400 	 c = 192 / 85 / 107 / 0.7944 	 h = -0.0392 / 0.1733 	 p = 0.09 	 avg = 0.00 	 % = 1.2280 / +5.7007
0.016000 / 0.016000 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 212 / 93 / 119 / 0.7815 	 h = -0.0392 / 0.1714 	 p = 0.15 	 avg = 0.00 	 % = 1.3164 / +7.9095
0.016500 / 0.016500 / 0.035000 	 t = 0.0000 / 0.0400 	 c = 192 / 86 / 106 / 0.8113 	 h = -0.0388 / 0.1733 	 p = 0.11 	 avg = 0.00 	 % = 1.2572 / +6.4311
0.016500 / 0.016500 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 212 / 92 / 120 / 0.7667 	 h = -0.0388 / 0.1714 	 p = 0.16 	 avg = 0.00 	 % = 1.3348 / +8.3711
0.017000 / 0.017000 / 0.035000 	 t = 0.0000 / 0.0400 	 c = 196 / 86 / 110 / 0.7818 	 h = -0.0386 / 0.1733 	 p = 0.08 	 avg = 0.00 	 % = 1.2071 / +5.1777
0.017000 / 0.017000 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 214 / 91 / 123 / 0.7398 	 h = -0.0386 / 0.1714 	 p = 0.13 	 avg = 0.00 	 % = 1.2804 / +7.0090
0.017500 / 0.017500 / 0.035000 	 t = 0.0000 / 0.0400 	 c = 196 / 88 / 108 / 0.8148 	 h = -0.0382 / 0.1733 	 p = 0.11 	 avg = 0.00 	 % = 1.2482 / +6.2042
0.017500 / 0.017500 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 214 / 92 / 122 / 0.7541 	 h = -0.0382 / 0.1714 	 p = 0.15 	 avg = 0.00 	 % = 1.3089 / +7.7222
0.018000 / 0.018000 / 0.035000 	 t = 0.0000 / 0.0400 	 c = 196 / 88 / 108 / 0.8148 	 h = -0.0378 / 0.1733 	 p = 0.11 	 avg = 0.00 	 % = 1.2578 / +6.4441
0.018000 / 0.018000 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 214 / 93 / 121 / 0.7686 	 h = -0.0378 / 0.1716 	 p = 0.16 	 avg = 0.00 	 % = 1.3295 / +8.2376
0.018500 / 0.018500 / 0.035000 	 t = 0.0000 / 0.0400 	 c = 196 / 88 / 108 / 0.8148 	 h = -0.0375 / 0.1733 	 p = 0.12 	 avg = 0.00 	 % = 1.2679 / +6.6984
0.018500 / 0.018500 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 216 / 91 / 125 / 0.7280 	 h = -0.0375 / 0.1716 	 p = 0.15 	 avg = 0.00 	 % = 1.3025 / +7.5622
0.019000 / 0.019000 / 0.035000 	 t = 0.0000 / 0.0400 	 c = 196 / 88 / 108 / 0.8148 	 h = -0.0371 / 0.1733 	 p = 0.12 	 avg = 0.00 	 % = 1.2764 / +6.9098
0.019000 / 0.019000 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 220 / 93 / 127 / 0.7323 	 h = -0.0371 / 0.1716 	 p = 0.10 	 avg = 0.00 	 % = 1.2184 / +5.4605
0.019500 / 0.019500 / 0.035000 	 t = 0.0000 / 0.0400 	 c = 196 / 88 / 108 / 0.8148 	 h = -0.0370 / 0.1735 	 p = 0.13 	 avg = 0.00 	 % = 1.2888 / +7.2200
0.019500 / 0.019500 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 220 / 94 / 126 / 0.7460 	 h = -0.0370 / 0.1716 	 p = 0.12 	 avg = 0.00 	 % = 1.2549 / +6.3718
0.020000 / 0.020000 / 0.035000 	 t = 0.0000 / 0.0400 	 c = 196 / 88 / 108 / 0.8148 	 h = -0.0368 / 0.1735 	 p = 0.14 	 avg = 0.00 	 % = 1.3041 / +7.6032
0.020000 / 0.020000 / 0.040000 	 t = 0.0000 / 0.0400 	 c = 220 / 95 / 125 / 0.7600 	 h = -0.0368 / 0.1716 	 p = 0.13 	 avg = 0.00 	 % = 1.2749 / +6.8735
0.004500 / 0.004500 / 0.040000 	 t = 0.0000 / 0.0450 	 c = 130 / 55 / 75 / 0.7333 	 h = -0.0449 / 0.1688 	 p = 0.02 	 avg = 0.00 	 % = 1.1001 / +2.2236
0.004500 / 0.004500 / 0.045000 	 t = 0.0000 / 0.0450 	 c = 134 / 56 / 78 / 0.7179 	 h = -0.0449 / 0.1661 	 p = 0.05 	 avg = 0.00 	 % = 1.1304 / +2.8978
0.004500 / 0.004500 / 0.050000 	 t = 0.0000 / 0.0450 	 c = 134 / 54 / 80 / 0.6750 	 h = -0.0450 / 0.1743 	 p = 0.10 	 avg = 0.00 	 % = 1.2109 / +4.6856
0.004500 / 0.004500 / 0.055000 	 t = 0.0000 / 0.0450 	 c = 136 / 55 / 81 / 0.6790 	 h = -0.0449 / 0.1767 	 p = 0.16 	 avg = 0.00 	 % = 1.2777 / +6.1718
0.004500 / 0.004500 / 0.060000 	 t = 0.0000 / 0.0450 	 c = 136 / 56 / 80 / 0.7000 	 h = -0.0449 / 0.1822 	 p = 0.20 	 avg = 0.00 	 % = 1.3457 / +7.6817
0.004500 / 0.004500 / 0.065000 	 t = 0.0000 / 0.0450 	 c = 138 / 57 / 81 / 0.7037 	 h = -0.0449 / 0.1830 	 p = 0.19 	 avg = 0.00 	 % = 1.3313 / +7.3617
0.004500 / 0.004500 / 0.070000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.21 	 avg = 0.00 	 % = 1.3570 / +7.9329
0.004500 / 0.004500 / 0.075000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.21 	 avg = 0.00 	 % = 1.3715 / +8.2555
0.004500 / 0.004500 / 0.080000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.22 	 avg = 0.00 	 % = 1.3807 / +8.4598
0.004500 / 0.004500 / 0.085000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.22 	 avg = 0.00 	 % = 1.3838 / +8.5286
0.004500 / 0.004500 / 0.090000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.22 	 avg = 0.00 	 % = 1.3904 / +8.6766
0.004500 / 0.004500 / 0.095000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.3943 / +8.7622
0.004500 / 0.004500 / 0.100000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.3978 / +8.8401
0.004500 / 0.004500 / 0.105000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4003 / +8.8946
0.004500 / 0.004500 / 0.110000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4010 / +8.9103
0.004500 / 0.004500 / 0.115000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4010 / +8.9103
0.004500 / 0.004500 / 0.120000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4010 / +8.9103
0.004500 / 0.004500 / 0.125000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4010 / +8.9103
0.004500 / 0.004500 / 0.130000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4010 / +8.9103
0.004500 / 0.004500 / 0.135000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4010 / +8.9103
0.004500 / 0.004500 / 0.140000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4010 / +8.9103
0.004500 / 0.004500 / 0.145000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4010 / +8.9103
0.004500 / 0.004500 / 0.150000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4010 / +8.9103
0.004500 / 0.004500 / 0.155000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4010 / +8.9103
0.004500 / 0.004500 / 0.160000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4010 / +8.9103
0.004500 / 0.004500 / 0.165000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4010 / +8.9103
0.004500 / 0.004500 / 0.170000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4010 / +8.9103
0.004500 / 0.004500 / 0.175000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4010 / +8.9103
0.004500 / 0.004500 / 0.180000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4010 / +8.9103
0.004500 / 0.004500 / 0.185000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4010 / +8.9103
0.004500 / 0.004500 / 0.190000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4010 / +8.9103
0.004500 / 0.004500 / 0.195000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4010 / +8.9103
0.004500 / 0.004500 / 0.200000 	 t = 0.0000 / 0.0450 	 c = 138 / 58 / 80 / 0.7250 	 h = -0.0449 / 0.1830 	 p = 0.23 	 avg = 0.00 	 % = 1.4010 / +8.9103
0.005500 / 0.005500 / 0.040000 	 t = 0.0000 / 0.0450 	 c = 150 / 71 / 79 / 0.8987 	 h = -0.0449 / 0.1692 	 p = 0.08 	 avg = 0.00 	 % = 1.1566 / +3.4792
0.006000 / 0.006000 / 0.035000 	 t = 0.0000 / 0.0450 	 c = 150 / 65 / 85 / 0.7647 	 h = -0.0449 / 0.1656 	 p = 0.00 	 avg = 0.00 	 % = 1.0521 / +1.1572
0.006000 / 0.006000 / 0.040000 	 t = 0.0000 / 0.0450 	 c = 156 / 69 / 87 / 0.7931 	 h = -0.0449 / 0.1694 	 p = 0.04 	 avg = 0.00 	 % = 1.1325 / +2.9436
0.006000 / 0.006000 / 0.070000 	 t = 0.0000 / 0.0450 	 c = 179 / 74 / 105 / 0.7048 	 h = -0.0450 / 0.1967 	 p = 0.03 	 avg = 0.00 	 % = 1.0622 / +1.3830
0.006000 / 0.006000 / 0.075000 	 t = 0.0000 / 0.0450 	 c = 181 / 74 / 107 / 0.6916 	 h = -0.0450 / 0.1973 	 p = 0.00 	 avg = 0.00 	 % = 1.0230 / +0.5105
0.006500 / 0.006500 / 0.040000 	 t = 0.0000 / 0.0450 	 c = 166 / 74 / 92 / 0.8043 	 h = -0.0449 / 0.1626 	 p = 0.02 	 avg = 0.00 	 % = 1.0781 / +1.7365
0.007000 / 0.007000 / 0.035000 	 t = 0.0000 / 0.0450 	 c = 160 / 72 / 88 / 0.8182 	 h = -0.0450 / 0.1680 	 p = 0.00 	 avg = 0.00 	 % = 1.0697 / +1.5491
0.007000 / 0.007000 / 0.040000 	 t = 0.0000 / 0.0450 	 c = 170 / 75 / 95 / 0.7895 	 h = -0.0449 / 0.1638 	 p = 0.02 	 avg = 0.00 	 % = 1.0963 / +2.1403
0.007500 / 0.007500 / 0.035000 	 t = 0.0000 / 0.0450 	 c = 164 / 74 / 90 / 0.8222 	 h = -0.0450 / 0.1700 	 p = 0.02 	 avg = 0.00 	 % = 1.0882 / +1.9600
0.009000 / 0.009000 / 0.040000 	 t = 0.0000 / 0.0450 	 c = 186 / 80 / 106 / 0.7547 	 h = -0.0449 / 0.1687 	 p = 0.00 	 avg = 0.00 	 % = 1.0845 / +1.8781
0.010000 / 0.010000 / 0.030000 	 t = 0.0000 / 0.0450 	 c = 162 / 65 / 97 / 0.6701 	 h = -0.0450 / 0.1726 	 p = 0.00 	 avg = 0.00 	 % = 1.0417 / +0.9264
0.011000 / 0.011000 / 0.040000 	 t = 0.0000 / 0.0450 	 c = 202 / 83 / 119 / 0.6975 	 h = -0.0450 / 0.1698 	 p = 0.01 	 avg = 0.00 	 % = 1.0877 / +1.9482
0.011500 / 0.011500 / 0.040000 	 t = 0.0000 / 0.0450 	 c = 204 / 87 / 117 / 0.7436 	 h = -0.0446 / 0.1700 	 p = 0.03 	 avg = 0.00 	 % = 1.1205 / +2.6782
0.012000 / 0.012000 / 0.040000 	 t = 0.0000 / 0.0450 	 c = 204 / 87 / 117 / 0.7436 	 h = -0.0439 / 0.1704 	 p = 0.10 	 avg = 0.00 	 % = 1.2159 / +4.7967
0.012500 / 0.012500 / 0.040000 	 t = 0.0000 / 0.0450 	 c = 206 / 87 / 119 / 0.7311 	 h = -0.0433 / 0.1706 	 p = 0.10 	 avg = 0.00 	 % = 1.2319 / +5.1536
