
2022-05-10  00.54.41    EMA2    buyOrSell = 2    bin = 5    fee = 0.0003 - 0.003    2022-05-04 ~  (5) days

1602 loaded. (5 days)
sma = 12 / 6 	 limit = 0.0100 / 0.0250 / 0.0500 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0233
sma = 12 / 6 	 limit = 0.0100 / 0.0300 / 0.0100 	 count = 1 / 1 / 0 / 1.00 	 % = 1.1142
sma = 12 / 6 	 limit = 0.0100 / 0.0300 / 0.0150 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0825
sma = 12 / 6 	 limit = 0.0100 / 0.0300 / 0.0200 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0646
sma = 12 / 6 	 limit = 0.0100 / 0.0300 / 0.0250 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0530
sma = 12 / 6 	 limit = 0.0100 / 0.0300 / 0.0300 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0450
sma = 12 / 6 	 limit = 0.0100 / 0.0300 / 0.0350 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0391
sma = 12 / 6 	 limit = 0.0100 / 0.0300 / 0.0400 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0345
sma = 12 / 6 	 limit = 0.0100 / 0.0300 / 0.0450 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0309
sma = 12 / 6 	 limit = 0.0100 / 0.0300 / 0.0500 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0280
sma = 12 / 6 	 limit = 0.0100 / 0.0350 / 0.0100 	 count = 1 / 1 / 0 / 1.00 	 % = 1.1335
sma = 12 / 6 	 limit = 0.0100 / 0.0350 / 0.0150 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0964
sma = 12 / 6 	 limit = 0.0100 / 0.0350 / 0.0200 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0754
sma = 12 / 6 	 limit = 0.0100 / 0.0350 / 0.0250 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0620
sma = 12 / 6 	 limit = 0.0100 / 0.0350 / 0.0300 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0526
sma = 12 / 6 	 limit = 0.0100 / 0.0350 / 0.0350 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0457
sma = 12 / 6 	 limit = 0.0100 / 0.0350 / 0.0400 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0403
sma = 12 / 6 	 limit = 0.0100 / 0.0350 / 0.0450 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0361
sma = 12 / 6 	 limit = 0.0100 / 0.0350 / 0.0500 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0327
