
2022-05-12  00.42.08    BenchmarkSAR    bin = 1    fee = 0.0015 - 0.002    2022-05-05 ~  (6) days

147420 loaded. (6 days)
0.014000 / 0.014000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 281 / 114 / 167 / 0.6826 	 h = -0.0101 / 0.1261 	 p = 0.02 	 avg = 0.00 	 % = 1.1012 / +10.1231
0.014000 / 0.014000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 337 / 144 / 193 / 0.7461 	 h = -0.0101 / 0.1131 	 p = 0.05 	 avg = 0.00 	 % = 1.1385 / +13.8469
0.015000 / 0.015000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 283 / 114 / 169 / 0.6746 	 h = -0.0101 / 0.1263 	 p = 0.04 	 avg = 0.00 	 % = 1.1336 / +13.3607
0.015000 / 0.015000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 340 / 144 / 196 / 0.7347 	 h = -0.0101 / 0.1133 	 p = 0.07 	 avg = 0.00 	 % = 1.1767 / +17.6727
0.016000 / 0.016000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 285 / 115 / 170 / 0.6765 	 h = -0.0101 / 0.1263 	 p = 0.05 	 avg = 0.00 	 % = 1.1395 / +13.9522
0.016000 / 0.016000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 350 / 144 / 206 / 0.6990 	 h = -0.0101 / 0.1134 	 p = 0.05 	 avg = 0.00 	 % = 1.1414 / +14.1443
0.017000 / 0.017000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 287 / 115 / 172 / 0.6686 	 h = -0.0101 / 0.1263 	 p = 0.05 	 avg = 0.00 	 % = 1.1379 / +13.7914
0.017000 / 0.017000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 356 / 148 / 208 / 0.7115 	 h = -0.0101 / 0.1136 	 p = 0.04 	 avg = 0.00 	 % = 1.1181 / +11.8131
0.018000 / 0.018000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 287 / 117 / 170 / 0.6882 	 h = -0.0101 / 0.1263 	 p = 0.07 	 avg = 0.00 	 % = 1.1801 / +18.0134
0.019000 / 0.019000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 287 / 115 / 172 / 0.6686 	 h = -0.0101 / 0.1263 	 p = 0.05 	 avg = 0.00 	 % = 1.1334 / +13.3357
0.001000 / 0.001000 / 0.030000 	 t = 0.0000 / 0.0150 	 c = 83 / 27 / 56 / 0.4821 	 h = -0.0152 / 0.0999 	 p = 0.01 	 avg = 0.00 	 % = 1.0377 / +2.5109
0.001000 / 0.001000 / 0.040000 	 t = 0.0000 / 0.0150 	 c = 83 / 27 / 56 / 0.4821 	 h = -0.0152 / 0.1056 	 p = 0.01 	 avg = 0.00 	 % = 1.0469 / +3.1236
0.001000 / 0.001000 / 0.050000 	 t = 0.0000 / 0.0150 	 c = 83 / 27 / 56 / 0.4821 	 h = -0.0152 / 0.1056 	 p = 0.01 	 avg = 0.00 	 % = 1.0469 / +3.1236
0.001000 / 0.001000 / 0.060000 	 t = 0.0000 / 0.0150 	 c = 83 / 27 / 56 / 0.4821 	 h = -0.0152 / 0.1056 	 p = 0.01 	 avg = 0.00 	 % = 1.0469 / +3.1236
0.001000 / 0.001000 / 0.070000 	 t = 0.0000 / 0.0150 	 c = 83 / 27 / 56 / 0.4821 	 h = -0.0152 / 0.1056 	 p = 0.01 	 avg = 0.00 	 % = 1.0469 / +3.1236
0.001000 / 0.001000 / 0.080000 	 t = 0.0000 / 0.0150 	 c = 83 / 27 / 56 / 0.4821 	 h = -0.0152 / 0.1056 	 p = 0.01 	 avg = 0.00 	 % = 1.0469 / +3.1236
0.001000 / 0.001000 / 0.090000 	 t = 0.0000 / 0.0150 	 c = 83 / 27 / 56 / 0.4821 	 h = -0.0152 / 0.1056 	 p = 0.01 	 avg = 0.00 	 % = 1.0469 / +3.1236
0.001000 / 0.001000 / 0.100000 	 t = 0.0000 / 0.0150 	 c = 83 / 27 / 56 / 0.4821 	 h = -0.0152 / 0.1056 	 p = 0.01 	 avg = 0.00 	 % = 1.0469 / +3.1236
0.001000 / 0.001000 / 0.110000 	 t = 0.0000 / 0.0150 	 c = 83 / 27 / 56 / 0.4821 	 h = -0.0152 / 0.1056 	 p = 0.01 	 avg = 0.00 	 % = 1.0469 / +3.1236
0.001000 / 0.001000 / 0.120000 	 t = 0.0000 / 0.0150 	 c = 83 / 27 / 56 / 0.4821 	 h = -0.0152 / 0.1056 	 p = 0.01 	 avg = 0.00 	 % = 1.0469 / +3.1236
0.001000 / 0.001000 / 0.130000 	 t = 0.0000 / 0.0150 	 c = 83 / 27 / 56 / 0.4821 	 h = -0.0152 / 0.1056 	 p = 0.01 	 avg = 0.00 	 % = 1.0469 / +3.1236
0.001000 / 0.001000 / 0.140000 	 t = 0.0000 / 0.0150 	 c = 83 / 27 / 56 / 0.4821 	 h = -0.0152 / 0.1056 	 p = 0.01 	 avg = 0.00 	 % = 1.0469 / +3.1236
