
2022-05-10  01.38.21    SMA2    bin = 5    fee = 0.0003 - 0.003    2022-05-04 ~  (5) days

1602 loaded. (5 days)
sma = 108 / 48 	 stop = 0.0400 	 count = 13 / 7 / 6 / 1.17 	 % = 1.0002
sma = 114 / 27 	 stop = 0.0150 	 count = 17 / 6 / 11 / 0.55 	 % = 1.0392
sma = 114 / 27 	 stop = 0.0200 	 count = 17 / 8 / 9 / 0.89 	 % = 1.0646
sma = 114 / 27 	 stop = 0.0250 	 count = 17 / 8 / 9 / 0.89 	 % = 1.0547
sma = 114 / 27 	 stop = 0.0300 	 count = 17 / 8 / 9 / 0.89 	 % = 1.0443
sma = 114 / 27 	 stop = 0.0350 	 count = 17 / 8 / 9 / 0.89 	 % = 1.0343
sma = 114 / 27 	 stop = 0.0400 	 count = 17 / 8 / 9 / 0.89 	 % = 1.0243
sma = 114 / 27 	 stop = 0.0450 	 count = 17 / 8 / 9 / 0.89 	 % = 1.0187
sma = 114 / 27 	 stop = 0.0500 	 count = 17 / 8 / 9 / 0.89 	 % = 1.0139
sma = 114 / 30 	 stop = 0.0150 	 count = 17 / 8 / 9 / 0.89 	 % = 1.0416
sma = 114 / 30 	 stop = 0.0200 	 count = 17 / 9 / 8 / 1.13 	 % = 1.0388
sma = 114 / 30 	 stop = 0.0250 	 count = 17 / 9 / 8 / 1.13 	 % = 1.0137
sma = 114 / 30 	 stop = 0.0300 	 count = 17 / 10 / 7 / 1.43 	 % = 1.0461
sma = 114 / 30 	 stop = 0.0350 	 count = 17 / 10 / 7 / 1.43 	 % = 1.0361
sma = 114 / 30 	 stop = 0.0400 	 count = 17 / 10 / 7 / 1.43 	 % = 1.0261
sma = 114 / 30 	 stop = 0.0450 	 count = 17 / 10 / 7 / 1.43 	 % = 1.0267
sma = 114 / 30 	 stop = 0.0500 	 count = 17 / 10 / 7 / 1.43 	 % = 1.0218
sma = 114 / 33 	 stop = 0.0200 	 count = 15 / 7 / 8 / 0.88 	 % = 1.0234
sma = 114 / 33 	 stop = 0.0250 	 count = 15 / 8 / 7 / 1.14 	 % = 1.0467
sma = 114 / 33 	 stop = 0.0300 	 count = 15 / 8 / 7 / 1.14 	 % = 1.0382
sma = 114 / 33 	 stop = 0.0350 	 count = 15 / 8 / 7 / 1.14 	 % = 1.0556
sma = 114 / 33 	 stop = 0.0400 	 count = 15 / 8 / 7 / 1.14 	 % = 1.0505
sma = 114 / 33 	 stop = 0.0450 	 count = 15 / 8 / 7 / 1.14 	 % = 1.0455
sma = 114 / 33 	 stop = 0.0500 	 count = 15 / 8 / 7 / 1.14 	 % = 1.0405
sma = 114 / 39 	 stop = 0.0150 	 count = 15 / 6 / 9 / 0.67 	 % = 1.0074
sma = 114 / 39 	 stop = 0.0250 	 count = 15 / 7 / 8 / 0.88 	 % = 1.0115
sma = 114 / 54 	 stop = 0.0150 	 count = 13 / 5 / 8 / 0.63 	 % = 1.0084
sma = 114 / 57 	 stop = 0.0150 	 count = 13 / 5 / 8 / 0.63 	 % = 1.0321
sma = 114 / 57 	 stop = 0.0200 	 count = 13 / 5 / 8 / 0.63 	 % = 1.0118
sma = 120 / 24 	 stop = 0.0100 	 count = 18 / 7 / 11 / 0.64 	 % = 1.0222
sma = 120 / 24 	 stop = 0.0150 	 count = 17 / 7 / 10 / 0.70 	 % = 1.0103
sma = 120 / 27 	 stop = 0.0150 	 count = 17 / 6 / 11 / 0.55 	 % = 1.0097
sma = 120 / 48 	 stop = 0.0150 	 count = 15 / 7 / 8 / 0.88 	 % = 1.0480
sma = 120 / 48 	 stop = 0.0200 	 count = 15 / 7 / 8 / 0.88 	 % = 1.0277
sma = 120 / 48 	 stop = 0.0250 	 count = 15 / 7 / 8 / 0.88 	 % = 1.0078
sma = 120 / 51 	 stop = 0.0150 	 count = 15 / 7 / 8 / 0.88 	 % = 1.0342
sma = 120 / 51 	 stop = 0.0200 	 count = 15 / 7 / 8 / 0.88 	 % = 1.0140
sma = 138 / 54 	 stop = 0.0150 	 count = 15 / 8 / 7 / 1.14 	 % = 1.0164
sma = 144 / 45 	 stop = 0.0150 	 count = 15 / 9 / 6 / 1.50 	 % = 1.0165




topList=127
[
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 102.0,
    "smaLength2": 48.0,
    "stopX": 0.0349999964,
    "tryCount": 13.0,
    "succeedCount": 5.0,
    "failedCount": 8.0,
    "finalPercent": 1.00013673
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 108.0,
    "smaLength2": 48.0,
    "stopX": 0.0399999954,
    "tryCount": 13.0,
    "succeedCount": 7.0,
    "failedCount": 6.0,
    "finalPercent": 1.00017416
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 96.0,
    "smaLength2": 48.0,
    "stopX": 0.0399999954,
    "tryCount": 13.0,
    "succeedCount": 5.0,
    "failedCount": 8.0,
    "finalPercent": 1.00033689
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 66.0,
    "smaLength2": 27.0,
    "stopX": 0.01,
    "tryCount": 23.0,
    "succeedCount": 10.0,
